SN,TIMESTAMP,PACKAGE_SIZE,MAX_VALUE,MIN_VALUE,MAT_0,MAT_1,MAT_2,MAT_3,MAT_4,MAT_5,MAT_6,MAT_7,MAT_8,MAT_9,MAT_10,MAT_11,MAT_12,MAT_13,MAT_14,MAT_15,MAT_16,MAT_17,MAT_18,MAT_19,MAT_20,MAT_21,MAT_22,MAT_23,MAT_24,MAT_25,MAT_26,MAT_27,MAT_28,MAT_29,MAT_30,MAT_31,MAT_32,MAT_33,MAT_34,MAT_35,MAT_36,MAT_37,MAT_38,MAT_39,MAT_40,MAT_41,MAT_42,MAT_43,MAT_44,MAT_45,MAT_46,MAT_47,MAT_48,MAT_49,MAT_50,MAT_51,MAT_52,MAT_53,MAT_54,MAT_55,MAT_56,MAT_57,MAT_58,MAT_59,MAT_60,MAT_61,MAT_62,MAT_63,MAT_64,MAT_65,MAT_66,MAT_67,MAT_68,MAT_69,MAT_70,MAT_71,MAT_72,MAT_73,MAT_74,MAT_75,MAT_76,MAT_77,MAT_78,MAT_79,MAT_80,MAT_81,MAT_82,MAT_83,MAT_84,MAT_85,MAT_86,MAT_87,MAT_88,MAT_89,MAT_90,MAT_91,MAT_92,MAT_93,MAT_94,MAT_95
0,2025-04-22 20:23:46.280,96,24,0,0,10,16,8,6,10,4,0,11,11,24,14,6,23,7,0,18,23,18,14,11,17,8,1,14,15,12,16,13,13,8,0,10,12,8,12,12,8,10,0,13,5,17,19,11,6,9,0,5,12,7,11,13,6,6,0,12,1,1,9,14,9,4,0,12,9,15,9,9,5,12,1,15,12,19,8,12,10,6,1,23,10,10,5,3,6,3,0,1,0,0,0,0,0,0,0
1,2025-04-22 20:23:46.290,96,24,0,0,10,16,8,6,10,4,0,11,11,24,14,6,23,7,0,18,23,18,14,11,17,8,1,14,15,12,16,13,13,8,0,10,12,8,12,12,8,10,0,13,5,17,19,11,6,9,0,5,12,7,11,13,6,6,0,12,1,1,9,14,9,4,0,12,9,15,9,9,5,12,1,15,12,19,8,12,10,6,1,23,10,10,5,3,6,3,0,1,0,0,0,0,0,0,0
2,2025-04-22 20:23:46.302,96,24,0,0,10,16,8,6,10,4,0,11,11,24,14,6,23,7,0,18,23,18,14,11,17,8,1,14,15,12,16,13,13,8,0,10,12,8,12,12,8,10,0,13,5,17,19,11,6,9,0,5,12,7,11,13,6,6,0,12,1,1,9,14,9,4,0,12,9,15,9,9,5,12,1,15,12,19,8,12,10,6,1,23,10,10,5,3,6,3,0,1,0,0,0,0,0,0,0
3,2025-04-22 20:23:46.311,96,24,0,0,10,16,8,6,10,4,0,11,11,24,14,6,23,7,0,18,23,18,14,11,17,8,1,14,15,12,16,13,13,8,0,10,12,8,12,12,8,10,0,13,5,17,19,11,6,9,0,5,12,7,11,13,6,6,0,12,1,1,9,14,9,4,0,12,9,15,9,9,5,12,1,15,12,19,8,12,10,6,1,23,10,10,5,3,6,3,0,1,0,0,0,0,0,0,0
4,2025-04-22 20:23:46.331,96,24,0,0,10,16,8,6,10,4,0,11,11,24,14,6,23,7,0,18,23,18,14,11,17,8,1,14,15,12,16,13,13,8,0,10,12,8,12,12,8,10,0,13,5,17,19,11,6,9,0,5,12,7,11,13,6,6,0,12,1,1,9,14,9,4,0,12,9,15,9,9,5,12,1,15,12,19,8,12,10,6,1,23,10,10,5,3,6,3,0,1,0,0,0,0,0,0,0
5,2025-04-22 20:23:46.341,96,24,0,0,10,16,8,6,10,4,0,11,11,24,14,6,23,7,0,18,23,18,14,11,17,8,1,14,15,12,16,13,13,8,0,10,12,8,12,12,8,10,0,13,5,17,19,11,6,9,0,5,12,7,11,13,6,6,0,12,1,1,9,14,9,4,0,12,9,15,9,9,5,12,1,15,12,19,8,12,10,6,1,23,10,10,5,3,6,3,0,1,0,0,0,0,0,0,0
6,2025-04-22 20:23:46.352,96,24,0,0,10,16,8,6,10,4,0,11,11,24,14,6,23,7,0,18,23,18,14,11,17,8,1,14,15,12,16,13,13,8,0,10,12,8,12,12,8,10,0,13,5,17,19,11,6,9,0,5,12,7,11,13,6,6,0,12,1,1,9,14,9,4,0,12,9,15,9,9,5,12,1,15,12,19,8,12,10,6,1,23,10,10,5,3,6,3,0,1,0,0,0,0,0,0,0
7,2025-04-22 20:23:46.362,96,24,0,0,10,16,8,6,10,4,0,11,11,24,14,6,23,7,0,18,23,18,14,11,17,8,1,14,15,12,16,13,13,8,0,10,12,8,12,12,8,10,1,13,5,17,19,12,6,9,1,5,13,7,11,13,6,6,0,12,1,1,9,14,9,4,0,12,9,15,9,9,5,12,1,15,12,19,8,12,10,6,1,23,10,10,5,3,6,3,0,1,0,0,0,0,0,0,0
8,2025-04-22 20:23:46.375,96,24,0,0,10,16,8,6,10,4,0,11,11,24,14,6,23,7,0,18,23,18,14,11,17,8,1,14,15,12,16,13,13,8,0,10,12,8,12,12,8,10,1,13,5,17,19,12,6,9,1,5,13,7,11,13,6,6,0,12,1,1,9,14,9,4,0,12,9,15,9,9,5,12,1,15,12,19,8,12,10,6,1,23,10,10,5,3,6,3,0,1,0,0,0,0,0,0,0
9,2025-04-22 20:23:46.386,96,24,0,0,10,16,8,6,10,4,0,11,11,24,14,6,23,7,0,18,23,18,14,11,17,8,1,14,15,12,16,13,13,8,0,10,12,8,12,12,8,10,1,13,5,17,19,12,6,9,1,5,13,7,11,13,6,6,0,12,1,1,9,14,9,4,0,12,9,15,9,9,5,12,1,15,12,19,8,12,10,6,1,23,10,10,5,3,6,3,0,1,0,0,0,0,0,0,0
10,2025-04-22 20:23:46.396,96,24,0,0,10,16,8,6,10,4,0,11,11,24,14,6,23,7,0,18,23,18,14,11,17,8,1,14,15,12,16,13,13,8,0,10,12,8,13,12,8,10,1,13,5,17,19,12,6,9,1,5,13,7,11,13,6,6,0,12,1,1,9,14,9,4,0,12,9,15,9,9,5,12,1,15,12,19,8,12,10,6,1,23,10,10,5,3,6,3,0,1,0,0,0,0,0,0,0
11,2025-04-22 20:23:46.405,96,24,0,0,10,16,8,6,10,4,0,11,11,24,14,6,23,7,0,18,23,18,14,11,17,8,1,14,15,12,16,13,13,8,0,10,12,8,13,12,8,10,1,13,5,17,19,12,7,9,1,5,13,7,11,13,6,6,0,12,1,1,9,14,9,4,0,12,9,16,10,9,5,12,1,15,12,19,8,12,10,6,1,23,10,10,5,3,6,3,0,1,0,0,0,0,0,0,0
12,2025-04-22 20:23:46.418,96,24,0,0,10,16,8,6,10,4,0,11,11,24,14,6,23,7,0,18,23,18,14,11,17,8,1,14,15,12,16,13,13,8,0,10,12,8,13,12,8,10,1,13,5,17,19,12,7,9,1,5,13,7,11,13,7,6,0,12,1,1,9,14,9,4,0,12,9,16,10,9,5,12,1,15,12,20,8,12,10,6,1,23,10,10,5,3,6,3,0,1,0,0,0,0,0,0,0
13,2025-04-22 20:23:46.427,96,24,0,0,10,16,8,6,10,4,0,11,11,24,14,6,23,7,0,18,23,18,14,11,17,8,1,14,15,12,16,13,13,8,0,10,12,8,13,12,8,10,1,13,5,17,19,12,7,9,1,5,13,7,11,13,7,6,0,12,1,1,9,14,9,4,0,12,9,16,10,9,5,12,1,15,12,20,8,12,10,6,1,23,10,10,5,3,6,3,0,1,0,0,0,0,0,0,0
14,2025-04-22 20:23:46.438,96,24,0,0,10,16,8,6,10,4,0,11,11,24,14,6,23,7,0,19,23,18,14,11,17,8,1,14,15,12,16,13,13,8,0,10,12,8,14,12,8,10,1,13,5,17,19,12,7,9,1,5,14,7,11,14,7,6,0,13,1,1,9,14,9,4,0,12,9,16,10,9,5,12,1,15,12,20,8,12,10,6,1,23,10,10,5,3,6,3,0,1,0,0,0,0,0,0,0
15,2025-04-22 20:23:46.448,96,24,0,0,10,16,8,6,10,4,0,11,11,24,14,6,23,7,0,19,23,18,14,11,17,8,1,14,15,12,16,13,13,8,0,10,12,8,14,12,8,10,1,14,5,17,19,12,7,9,1,5,14,7,11,14,7,6,0,13,1,1,9,14,9,4,0,12,9,16,11,9,5,12,1,15,12,20,8,13,10,6,1,23,10,10,5,3,6,3,0,1,0,0,0,0,0,0,0
16,2025-04-22 20:23:46.458,96,24,0,0,10,16,8,6,10,4,0,11,11,24,14,6,23,7,0,19,23,18,14,11,17,8,1,14,15,12,16,13,13,8,0,10,13,8,14,12,8,10,1,14,5,17,19,13,7,9,1,5,14,7,11,14,7,6,0,13,2,1,9,15,9,4,0,13,9,17,11,9,5,12,1,15,12,20,8,13,10,6,1,23,10,10,5,3,6,3,0,1,0,0,0,0,0,0,0
17,2025-04-22 20:23:46.469,96,24,0,0,10,16,8,6,10,4,0,11,11,24,14,6,23,7,0,19,23,18,14,11,17,8,1,14,15,12,16,13,13,8,0,10,13,8,14,12,8,10,1,14,5,17,19,13,7,9,1,5,14,8,11,14,7,6,0,13,2,1,9,15,9,4,0,13,9,17,11,9,5,12,1,15,12,21,8,13,10,6,1,23,10,10,5,3,6,3,0,1,0,0,0,0,0,0,0
18,2025-04-22 20:23:46.491,96,24,0,0,10,16,8,6,10,4,0,11,11,24,14,6,23,7,0,19,23,18,14,11,17,8,1,14,15,12,16,13,13,8,0,10,13,8,14,12,8,10,1,14,5,17,19,13,7,9,1,5,14,8,11,14,7,6,0,13,2,1,10,15,9,4,0,13,9,17,11,9,5,12,1,15,12,21,9,14,10,6,1,23,10,10,5,3,7,3,0,1,0,0,0,0,0,0,0
19,2025-04-22 20:23:46.500,96,24,0,0,10,16,8,6,10,4,0,11,11,24,14,6,23,7,0,19,23,18,14,11,17,8,1,14,15,12,16,13,13,9,0,10,13,8,14,12,8,10,1,14,5,17,19,13,7,9,1,5,15,8,11,14,8,6,0,13,2,1,10,15,9,4,0,13,10,17,11,9,5,12,1,15,12,21,9,14,10,6,1,23,10,10,5,3,7,3,0,1,0,0,0,0,0,0,0
20,2025-04-22 20:23:46.512,96,24,0,0,10,16,8,6,10,4,0,11,11,24,14,6,23,7,0,19,23,18,14,11,17,8,1,14,15,12,16,13,13,9,0,10,13,8,14,12,8,10,1,14,5,17,19,13,7,9,1,5,15,8,11,14,8,6,0,13,2,1,10,15,9,4,0,13,10,17,11,10,5,12,1,15,12,21,9,15,10,6,1,23,10,10,5,3,7,3,0,1,0,0,0,0,0,0,0
21,2025-04-22 20:23:46.524,96,24,0,0,10,16,8,6,10,4,0,11,11,24,14,6,23,7,0,19,23,18,14,11,17,8,1,14,15,12,16,13,13,10,0,10,13,8,14,12,8,10,1,14,5,17,19,14,7,10,1,5,15,8,11,14,8,6,0,13,2,1,11,15,9,4,0,13,10,17,11,10,5,12,1,15,12,21,9,15,10,6,1,23,10,10,5,3,7,3,0,1,0,0,0,0,0,0,0
22,2025-04-22 20:23:46.534,96,24,0,0,10,16,8,6,10,4,0,11,11,24,14,6,23,7,0,19,23,18,14,11,17,8,1,14,15,12,16,13,13,10,0,10,13,9,14,12,8,10,1,14,5,17,19,14,7,10,1,5,15,8,11,14,8,6,0,13,2,1,11,15,9,4,0,13,10,17,11,10,5,12,1,15,12,21,9,15,10,6,1,23,10,10,5,3,8,3,0,1,0,0,0,0,0,0,0
23,2025-04-22 20:23:46.545,96,24,0,0,10,17,8,6,10,4,0,11,12,24,14,6,23,7,0,19,23,18,14,11,17,8,1,14,15,12,16,13,13,10,0,10,14,9,15,12,8,10,1,14,5,17,20,14,8,10,1,5,15,8,11,14,8,6,0,13,2,1,12,16,10,4,0,14,10,18,12,11,5,12,1,15,12,22,10,16,10,6,1,23,10,10,5,3,8,3,0,1,0,0,0,0,0,0,0
24,2025-04-22 20:23:46.555,96,24,0,0,10,17,8,6,10,4,0,11,12,24,14,6,23,7,0,19,24,18,14,11,17,8,1,14,15,12,16,14,13,10,1,10,14,9,15,12,8,10,1,14,5,17,20,14,8,10,1,5,15,9,11,14,8,6,0,14,2,1,12,16,10,4,0,14,11,19,12,11,5,12,1,15,12,22,10,16,10,6,1,23,10,10,5,3,8,3,0,1,0,0,0,0,0,0,0
