SN,TIMESTAMP,PACKAGE_SIZE,MAX_VALUE,MIN_VALUE,MAT_0,MAT_1,MAT_2,MAT_3,MAT_4,MAT_5,MAT_6,MAT_7,MAT_8,MAT_9,MAT_10,MAT_11,MAT_12,MAT_13,MAT_14,MAT_15,MAT_16,MAT_17,MAT_18,MAT_19,MAT_20,MAT_21,MAT_22,MAT_23,MAT_24,MAT_25,MAT_26,MAT_27,MAT_28,MAT_29,MAT_30,MAT_31,MAT_32,MAT_33,MAT_34,MAT_35,MAT_36,MAT_37,MAT_38,MAT_39,MAT_40,MAT_41,MAT_42,MAT_43,MAT_44,MAT_45,MAT_46,MAT_47,MAT_48,MAT_49,MAT_50,MAT_51,MAT_52,MAT_53,MAT_54,MAT_55,MAT_56,MAT_57,MAT_58,MAT_59,MAT_60,MAT_61,MAT_62,MAT_63,MAT_64,MAT_65,MAT_66,MAT_67,MAT_68,MAT_69,MAT_70,MAT_71,MAT_72,MAT_73,MAT_74,MAT_75,MAT_76,MAT_77,MAT_78,MAT_79,MAT_80,MAT_81,MAT_82,MAT_83,MAT_84,MAT_85,MAT_86,MAT_87,MAT_88,MAT_89,MAT_90,MAT_91,MAT_92,MAT_93,MAT_94,MAT_95
0,2025-05-14 19:07:59.381,96,41,0,0,5,5,11,13,16,6,0,3,17,14,15,21,22,22,10,9,9,13,12,16,11,14,0,6,19,13,15,20,25,25,1,6,14,18,23,20,20,25,2,7,18,15,15,13,17,22,1,7,24,18,16,17,14,26,0,14,21,36,26,16,15,13,0,24,36,41,28,15,15,7,0,27,28,19,18,14,13,20,0,10,26,24,10,18,16,15,0,0,1,1,0,0,0,0,0
1,2025-05-14 19:07:59.393,96,41,0,0,5,5,11,13,16,6,0,3,17,14,15,21,22,22,10,9,9,13,12,16,11,14,0,6,19,13,15,20,25,25,1,6,14,18,23,20,20,25,2,7,18,15,15,13,17,22,1,7,24,18,16,17,14,26,0,14,21,36,26,16,15,13,0,24,36,41,28,15,15,7,0,27,28,19,18,14,13,20,0,10,26,24,10,18,16,15,0,0,1,1,0,0,0,0,0
2,2025-05-14 19:07:59.403,96,41,0,0,5,5,11,13,16,6,0,3,17,14,15,21,22,22,10,9,9,13,12,16,11,14,0,6,19,13,15,20,25,25,1,6,14,18,23,20,20,25,2,7,18,15,15,13,17,22,1,7,24,18,16,17,14,26,0,14,21,36,26,16,15,13,0,24,36,41,28,15,15,7,0,27,28,19,18,14,13,20,0,10,26,24,10,18,16,15,0,0,1,1,0,0,0,0,0
3,2025-05-14 19:07:59.413,96,41,0,0,5,5,11,13,16,6,0,3,17,14,15,21,22,22,10,9,9,13,12,16,11,14,0,6,19,13,15,20,25,25,1,6,14,18,23,20,20,25,2,7,18,15,15,13,17,22,1,7,24,18,16,17,14,26,0,14,21,36,26,16,15,13,0,24,36,41,28,15,15,7,0,28,28,19,18,14,13,20,0,10,26,24,10,18,16,15,0,0,1,1,0,0,0,0,0
4,2025-05-14 19:07:59.424,96,41,0,0,5,5,11,13,16,6,0,3,17,14,15,21,22,22,10,9,9,13,12,16,11,14,0,6,19,13,15,20,25,25,1,6,14,18,23,20,20,25,2,7,18,15,15,13,17,22,1,7,24,18,16,17,14,26,0,14,21,36,26,16,15,13,0,25,36,41,28,15,15,7,0,28,28,19,18,14,13,20,0,10,26,24,10,18,16,15,0,0,1,1,0,0,0,0,0
5,2025-05-14 19:07:59.436,96,41,0,0,5,5,11,13,16,6,0,3,17,14,15,21,22,22,10,9,9,13,12,16,11,14,0,6,19,13,15,20,25,25,1,6,14,18,23,20,20,25,2,7,18,15,15,13,17,22,1,7,24,18,16,17,14,26,0,14,21,36,26,16,15,13,0,25,37,41,28,15,15,7,0,28,28,19,18,14,13,20,0,10,26,24,10,18,16,15,0,0,1,1,0,0,0,0,0
6,2025-05-14 19:07:59.446,96,41,0,0,5,5,11,13,16,6,0,3,17,14,15,21,22,22,10,9,9,13,12,16,11,14,0,6,19,13,15,20,25,25,1,6,15,18,23,20,20,25,2,7,18,15,15,13,17,22,1,7,24,18,16,17,14,26,0,14,21,36,26,16,15,13,0,26,37,41,28,15,15,7,0,28,29,19,18,14,13,20,0,10,26,24,10,18,16,15,0,0,1,1,0,0,0,0,0
7,2025-05-14 19:07:59.456,96,41,0,0,5,5,11,13,16,6,0,3,17,14,15,21,22,22,10,9,9,13,12,16,11,14,0,6,19,13,15,20,25,25,1,6,15,18,23,20,20,25,2,7,18,15,15,13,17,22,1,7,24,18,16,17,14,26,0,14,21,36,26,16,15,13,0,26,37,41,28,15,15,7,0,28,29,19,18,14,13,20,0,10,26,24,10,18,16,15,0,0,1,1,0,0,0,0,0
8,2025-05-14 19:07:59.467,96,41,0,0,5,5,11,13,16,6,0,3,17,14,15,21,23,22,10,9,9,13,12,16,11,14,0,6,19,13,15,20,25,25,1,6,15,18,23,20,20,25,2,7,18,15,15,13,17,22,1,7,24,18,16,17,14,26,0,14,21,36,26,16,15,13,0,26,37,41,28,15,15,7,0,28,29,19,18,14,13,20,0,10,26,24,10,18,16,15,0,0,1,0,0,0,0,0,0
9,2025-05-14 19:07:59.477,96,41,0,0,5,5,11,13,16,6,0,3,17,14,15,21,23,22,10,9,9,13,12,16,11,14,0,7,19,13,15,20,25,25,1,6,15,18,23,20,20,25,2,7,18,15,15,13,17,22,1,7,24,18,16,17,14,26,0,14,21,36,26,16,15,13,0,28,37,41,28,15,15,7,0,28,29,19,18,14,13,20,0,10,26,24,10,18,16,15,0,0,1,0,0,0,0,0,0
10,2025-05-14 19:07:59.498,96,41,0,0,5,5,11,13,16,6,0,3,18,14,15,21,23,22,10,9,9,13,12,16,11,14,0,7,19,13,15,20,25,25,1,6,15,18,23,20,20,25,2,7,18,15,15,13,17,22,1,7,24,18,16,17,14,26,0,14,21,36,26,16,15,13,0,28,38,41,28,15,15,7,0,28,29,19,18,14,13,20,0,11,26,24,10,18,16,15,0,0,1,0,0,0,0,0,0
11,2025-05-14 19:07:59.509,96,41,0,0,5,5,11,13,16,6,0,3,18,14,15,21,23,22,10,9,9,13,12,16,11,14,0,7,19,13,15,20,25,25,1,6,15,18,23,20,20,25,2,7,18,15,15,13,17,23,1,7,24,18,16,17,14,26,0,14,21,36,26,16,15,13,0,29,38,41,28,15,15,7,0,28,29,19,18,14,13,20,0,12,26,24,10,18,16,15,0,0,1,0,0,0,0,0,0
12,2025-05-14 19:07:59.519,96,41,0,0,5,5,11,13,16,6,0,3,18,14,15,21,23,22,10,9,9,13,12,16,11,14,0,7,19,13,15,20,25,25,1,6,15,18,23,20,20,25,2,7,18,15,15,13,17,23,1,7,24,18,16,17,14,26,0,14,21,36,26,16,15,13,0,29,38,41,28,15,15,7,0,28,29,19,18,14,13,20,0,12,26,24,10,18,16,15,0,0,1,0,0,0,0,0,0
13,2025-05-14 19:07:59.530,96,41,0,0,5,5,11,13,16,6,0,3,18,14,15,21,23,22,10,9,10,13,12,16,11,14,0,7,19,13,15,20,25,25,1,6,15,18,23,20,20,25,2,7,18,15,15,13,17,23,1,7,24,18,16,17,14,26,0,14,21,36,26,16,15,13,0,29,38,41,28,15,15,7,0,28,29,19,18,14,13,20,0,12,26,24,10,18,16,15,0,0,1,0,0,0,0,0,0
14,2025-05-14 19:07:59.542,96,41,0,0,5,5,11,13,16,6,0,3,18,14,15,21,23,22,10,9,10,13,12,16,11,14,0,7,19,13,15,20,25,25,1,6,15,18,23,20,20,25,2,7,18,15,15,13,17,23,1,7,24,18,16,17,14,26,0,14,21,36,26,16,15,13,0,29,38,41,28,15,15,7,0,28,30,19,18,14,13,20,0,12,26,24,10,18,16,15,0,0,1,0,0,0,0,0,0
15,2025-05-14 19:07:59.550,96,41,0,0,5,5,11,13,16,6,0,3,18,14,15,21,23,22,10,9,10,13,12,16,11,14,0,7,19,13,15,20,26,25,1,6,15,18,23,20,20,25,2,7,18,15,15,13,17,23,1,7,24,18,16,17,14,26,0,14,22,36,26,16,15,13,0,29,38,41,28,15,15,7,0,28,30,19,18,14,13,20,0,12,26,24,10,18,16,15,0,0,1,1,0,0,0,0,0
16,2025-05-14 19:07:59.561,96,41,0,0,5,5,11,13,16,6,0,3,18,14,15,21,23,22,10,9,10,13,12,16,11,14,0,7,19,13,15,20,26,25,1,6,15,18,23,20,20,25,2,7,18,15,15,13,17,23,1,7,24,18,16,17,14,26,0,14,22,37,26,16,15,13,0,29,38,41,28,15,15,7,0,28,30,19,18,14,13,20,0,12,26,24,10,18,16,15,0,0,1,1,0,0,0,0,0
17,2025-05-14 19:07:59.571,96,41,0,0,5,5,11,13,16,6,0,3,18,14,15,21,23,22,10,9,10,13,12,16,11,14,0,7,19,13,15,20,26,25,1,6,15,18,23,21,20,25,2,7,18,15,15,13,17,23,1,7,24,18,16,17,14,26,0,14,22,37,26,16,15,13,0,29,38,41,28,15,15,7,0,28,30,19,18,14,13,20,0,12,26,24,10,18,16,15,0,0,1,1,0,0,0,0,0
